DosageForm,Dosage,Drugname,TotalApprovals
INJECTABLE;SUBCUTANEOUS,"75 IU/VIAL;75 IU/VIAL",MENOPUR,1
INJECTABLE;SUBCUTANEOUS,"80MG/0.8ML (100MG/ML)","LOVENOX (PRESERVATIVE FREE)",1
INJECTABLE;SUBCUTANEOUS,"900 IU/1.08ML","FOLLISTIM AQ",1
INJECTABLE;SUBCUTANEOUS,"900 IU/1.5ML","GONAL-F RFF REDI-JECT",1
INJECTABLE;SUBCUTANEOUS,"90MG/0.6ML (150MG/ML) **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**","LOVENOX (PRESERVATIVE FREE)",1
INJECTABLE;SUBCUTANEOUS,90MG/VIAL,FUZEON,1
INJECTABLE;SUBCUTANEOUS,"95,000IU/3.8ML (25,000IU/ML)",FRAGMIN,1
INJECTABLE;SUBCUTANEOUS,"95,000IU/9.5ML (10,000IU/ML)",FRAGMIN,1
INJECTABLE;SUBCUTANEOUS,"EQ 0.25MG /0.5ML",OVIDREL,1
INJECTABLE;SUBCUTANEOUS,"EQ 1.5MG BASE/1.5ML (EQ 1MG BASE/ML)",SYMLIN,1
INJECTABLE;SUBCUTANEOUS,"EQ 2.7MG BASE/2.7ML (EQ 1MG BASE/ML)",SYMLIN,1
INJECTABLE;SUBCUTANEOUS,"EQ 30MG BASE/3ML (EQ 10MG BASE/ML)",FIRAZYR,1
INJECTABLE;SUBCUTANEOUS,"EQ 3MG BASE/5ML (EQ 600MCG BASE/ML)",SYMLIN,1
INJECTABLE;SUBCUTANEOUS,"EQ 4MG BASE/0.5ML (EQ 8MG BASE/ML)","IMITREX STATDOSE",1
INJECTABLE;SUBCUTANEOUS,"EQ 4MG BASE/0.5ML (EQ 8MG BASE/ML)","SUMAVEL DOSEPRO",1
INJECTABLE;SUBCUTANEOUS,"EQ 6MG BASE/0.5ML (EQ 12MG BASE/ML)",ALSUMA,1
INJECTABLE;SUBCUTANEOUS,"EQ 6MG BASE/0.5ML (EQ 12MG BASE/ML)",IMITREX,1
INJECTABLE;SUBCUTANEOUS,"EQ 6MG BASE/0.5ML (EQ 12MG BASE/ML)","IMITREX STATDOSE",1
INJECTABLE;SUBCUTANEOUS,"EQ 6MG BASE/0.5ML (EQ 12MG BASE/ML)","SUMAVEL DOSEPRO",1
"INJECTABLE;SUBCUTANEOUS LYOPHILIZED POWER",100MG,NUCALA,1
"INJECTION, EXTENDED RELEASE;SUBCUTANEOUS","10MG/0.4ML (10MG/0.4ML)",SUSTOL,1
"INSERT, EXTENDED RELEASE;INTRAUTERINE",38MG,PROGESTASERT,1
"INSERT, EXTENDED RELEASE;OPHTHALMIC",11MG,"OCUSERT PILO-40",1
"INSERT, EXTENDED RELEASE;OPHTHALMIC",5MG,"OCUSERT PILO-20",1
"INSERT, EXTENDED RELEASE;VAGINAL",0.0075MG/24HR,ESTRING,1
"INSERT, EXTENDED RELEASE;VAGINAL",10MG,CERVIDIL,1
"INSERT, EXTENDED RELEASE;VAGINAL","EQ 0.05MG BASE/24HR",FEMRING,1
"INSERT, EXTENDED RELEASE;VAGINAL","EQ 0.1MG BASE/24HR",FEMRING,1
INSERT;OPHTHALMIC,5MG,LACRISERT,1
INSERT;VAGINAL,100MG,ENDOMETRIN,1
"INTRAUTERINE DEVICE;INTRAUTERINE",13.5MG,SKYLA,1
"INTRAUTERINE DEVICE;INTRAUTERINE",309MG/COPPER,"PARAGARD T 380A",1
"INTRAUTERINE DEVICE;INTRAUTERINE",52MG,LILETTA,1
"INTRAUTERINE DEVICE;INTRAUTERINE",52MG,MIRENA,1
JELLY;TOPICAL,2%,ANESTACON,1
JELLY;TOPICAL,2%,GLYDO,1
JELLY;TOPICAL,2%,XYLOCAINE,1
KIT,N/A,VERLUMA,1
LIQUID;INHALATION,100%,SOJOURN,1
LIQUID;INHALATION,100%,ULTANE,1
LIQUID;INHALATION,99.9%,ETHRANE,1
LIQUID;INHALATION,99.9%,FORANE,1
LIQUID;INHALATION,99.9%,SUPRANE,1
LIQUID;INHALATION,99.99%,FLUOTHANE,1
LIQUID;IRRIGATION,100%,"STERILE WATER",1
LIQUID;N/A,100%,"BACTERIOSTATIC WATER FOR INJECTION IN PLASTIC CONTAINER",1
LIQUID;N/A,100%,"STERILE WATER FOR INJECTION",1
LIQUID;ORAL,1.1GM/ML,RAVICTI,1
LIQUID;ORAL,100%,IMAGENT,1
LIQUID;ORAL,12.5MG/4ML,DIMENHYDRINATE,1
"LIQUID;PERFUSION, BILIARY",100%,MOCTANIN,1
"LOTION, AUGMENTED;TOPICAL","EQ 0.05% BASE",DIPROLENE,1
"Lotion; Topical",1%,"LOTRIMIN AF",1
LOTION;TOPICAL,"0.025% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",KENALOG,1
LOTION;TOPICAL,0.05%,CLOBEX,1
LOTION;TOPICAL,0.05%,CORDRAN,1
LOTION;TOPICAL,0.05%,CUTIVATE,1
LOTION;TOPICAL,0.05%,DESOWEN,1
LOTION;TOPICAL,0.05%,FLURANDRENOLIDE,1
LOTION;TOPICAL,0.05%,ULTRAVATE,1
LOTION;TOPICAL,0.1%,AMCINONIDE,1
LOTION;TOPICAL,0.1%,CYCLOCORT,1
LOTION;TOPICAL,0.1%,DIFFERIN,1
LOTION;TOPICAL,0.1%,ELOCON,1
LOTION;TOPICAL,0.1%,LOCOID,1
LOTION;TOPICAL,"0.1% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",KENALOG,1
LOTION;TOPICAL,0.5%,CETACORT,1
LOTION;TOPICAL,0.5%,NUTRACORT,1
LOTION;TOPICAL,0.5%,OVIDE,1
LOTION;TOPICAL,0.5%,SKLICE,1
LOTION;TOPICAL,0.75%,METROLOTION,1
LOTION;TOPICAL,0.75%,METRONIDAZOLE,1
LOTION;TOPICAL,1%,ACTICORT,1
LOTION;TOPICAL,1%,ALA-CORT,1
LOTION;TOPICAL,1%,CETACORT,1
LOTION;TOPICAL,1%,HYDROCORTISONE,1
LOTION;TOPICAL,1%,HYTONE,1
LOTION;TOPICAL,1%,KWELL,1
LOTION;TOPICAL,1%,LOTRIMIN,1
LOTION;TOPICAL,1%,NUTRACORT,1
LOTION;TOPICAL,1%,OXSORALEN,1
LOTION;TOPICAL,1%,STIE-CORT,1
LOTION;TOPICAL,1%;1%,PRAMOSONE,1
LOTION;TOPICAL,10%,CROTAN,1
LOTION;TOPICAL,10%,EURAX,1
LOTION;TOPICAL,10%,KLARON,1
LOTION;TOPICAL,2.5%,HYTONE,1
LOTION;TOPICAL,2.5%,NUTRACORT,1
LOTION;TOPICAL,2.5%,STIE-CORT,1
LOTION;TOPICAL,2.5%;1%,PRAMOSONE,1
LOTION;TOPICAL,2%,ALA-SCALP,1
LOTION;TOPICAL,2%,"E-SOLVE 2",1
LOTION;TOPICAL,3%,FUNGIZONE,1
LOTION;TOPICAL,3%;7.5%;3%,"SHADE UVAGUARD",1
LOTION;TOPICAL,5%,"IVY BLOCK",1
LOTION;TOPICAL,5%,ULESFIA,1
LOTION;TOPICAL,"EQ 0.05% BASE",ALPHATREX,1
LOTION;TOPICAL,"EQ 0.05% BASE",DIPROSONE,1
LOTION;TOPICAL,"EQ 0.05% BASE;1%",LOTRISONE,1
LOTION;TOPICAL,"EQ 0.1% BASE",BETA-VAL,1
LOTION;TOPICAL,"EQ 0.1% BASE",BETATREX,1
LOTION;TOPICAL,"EQ 0.1% BASE",VALISONE,1
LOTION;TOPICAL,"EQ 1% BASE","CLEOCIN T",1
LOTION;TOPICAL,"EQ 1% BASE","CLINDAMYCIN PHOSPHATE",1
LOTION;TOPICAL,"EQ 1% BASE",OXISTAT,1
LOTION;TOPICAL,"EQ 12% BASE",LAC-HYDRIN,1
LOTION/SHAMPOO;TOPICAL,2.5%,EXSEL,1
LOTION/SHAMPOO;TOPICAL,2.5%,SELSUN,1
N/A;N/A,0.1MG;0.5uCi;60MG,"CYANOCOBALAMIN CO 57 SCHILLING TEST KIT",1
N/A;N/A,N/A;N/A;N/A,"DICOPAC KIT",1
N/A;N/A,N/A;N/A;N/A;N/A,"RUBRATOPE-57 KIT",1
N/A;N/A,N/A;N/A;N/A;N/A,"RUBRATOPE-60 KIT",1
"OIL;INTRALYMPHATIC, INTRAUTERINE","EQ 4.8GM IODINE/10ML (EQ 480MG IODINE/ML)",LIPIODOL,1
OIL;TOPICAL,0.01%,DERMA-SMOOTHE/FS,1
OIL/DROPS;OTIC,0.01%,DERMOTIC,1
"OINTMENT, AUGMENTED;TOPICAL","EQ 0.05% BASE",DIPROLENE,1
OINTMENT;INTRA-ANAL,0.4%,RECTIV,1
OINTMENT;NASAL,"EQ 2% BASE",BACTROBAN,1
OINTMENT;OPHTHALMIC,0.025%,FLOROPRYL,1
OINTMENT;OPHTHALMIC,0.1%,FML,1
OINTMENT;OPHTHALMIC,0.1%;0.3%,TOBRADEX,1
OINTMENT;OPHTHALMIC,"0.1%;EQ 3.5MG BASE/GM;10,000 UNITS/GM",DEXACIDIN,1
OINTMENT;OPHTHALMIC,"0.1%;EQ 3.5MG BASE/GM;10,000 UNITS/GM",MAXITROL,1
OINTMENT;OPHTHALMIC,0.2%;10%,"BLEPHAMIDE S.O.P.",1
OINTMENT;OPHTHALMIC,0.25%;10%,CETAPRED,1
OINTMENT;OPHTHALMIC,0.3%,TOBREX,1
OINTMENT;OPHTHALMIC,0.5%,ILOTYCIN,1
OINTMENT;OPHTHALMIC,0.5%,LOTEMAX,1
OINTMENT;OPHTHALMIC,0.5%;10%,METIMYD,1
OINTMENT;OPHTHALMIC,0.5%;10%,VASOCIDIN,1
OINTMENT;OPHTHALMIC,1.5%;1%,ACHROMYCIN,1
OINTMENT;OPHTHALMIC,1%,AUREOMYCIN,1
OINTMENT;OPHTHALMIC,1%,CHLORAMPHENICOL,1
OINTMENT;OPHTHALMIC,1%,CHLOROMYCETIN,1
OINTMENT;OPHTHALMIC,1%,"CHLOROPTIC S.O.P.",1
OINTMENT;OPHTHALMIC,1%,ECONOCHLOR,1
OINTMENT;OPHTHALMIC,10%,BLEPH-10,1
OINTMENT;OPHTHALMIC,10%,CETAMIDE,1
OINTMENT;OPHTHALMIC,10%,"SULFACETAMIDE SODIUM",1
OINTMENT;OPHTHALMIC,10MG/GM,ACHROMYCIN,1
OINTMENT;OPHTHALMIC,"10MG/GM;5MG/GM;10,000 UNITS/GM",OPHTHOCORT,1
OINTMENT;OPHTHALMIC,3%,VIRA-A,1
OINTMENT;OPHTHALMIC,"400 UNITS/GM;1%;EQ 3.5MG BASE/GM;10,000 UNITS/GM","BACITRACIN-NEOMYCIN-POLYMYXIN W/ HYDROCORTISONE ACETATE",1
OINTMENT;OPHTHALMIC,"400 UNITS/GM;1%;EQ 3.5MG BASE/GM;10,000 UNITS/GM",CORTISPORIN,1
OINTMENT;OPHTHALMIC,"400 UNITS/GM;EQ 3.5MG BASE;10,000 UNITS/GM","NEOMYCIN AND POLYMYXIN B SULFATES AND BACITRACIN ZINC",1
OINTMENT;OPHTHALMIC,"400 UNITS/GM;EQ 3.5MG BASE/GM;10,000 UNITS/GM",NEOSPORIN,1
OINTMENT;OPHTHALMIC,"500 UNITS/GM;10,000 UNITS/GM",POLYSPORIN,1
OINTMENT;OPHTHALMIC,"EQ 0.05% PHOSPHATE",DECADRON,1
OINTMENT;OPHTHALMIC,"EQ 0.05% PHOSPHATE",MAXIDEX,1
OINTMENT;OPHTHALMIC,"EQ 0.05% PHOSPHATE;EQ 3.5MG BASE/GM",NEODECADRON,1
OINTMENT;OPHTHALMIC,"EQ 0.3% BASE",CILOXAN,1
OINTMENT;OPHTHALMIC,"EQ 0.3% BASE",GARAMYCIN,1
OINTMENT;OPHTHALMIC,"EQ 0.3% BASE",GENTACIDIN,1
OINTMENT;OPHTHALMIC,"EQ 0.3% BASE;0.6%",PRED-G,1
OINTMENT;OPHTHALMIC,"EQ 3.5MG BASE/GM;10,000 UNITS/GM",STATROL,1
OINTMENT;OPHTHALMIC,"EQ 5MG BASE/GM;10,000 UNITS/GM","TERRAMYCIN W/ POLYMYXIN B SULFATE",1
OINTMENT;TOPICAL,0.005%,CALCIPOTRIENE,1
OINTMENT;TOPICAL,0.005%,CUTIVATE,1
OINTMENT;TOPICAL,0.005%,DOVONEX,1
OINTMENT;TOPICAL,0.025%,FLUOTREX,1
OINTMENT;TOPICAL,0.025%,KENALOG,1
OINTMENT;TOPICAL,0.025%,SYNALAR,1
OINTMENT;TOPICAL,"0.025% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",CORDRAN,1
OINTMENT;TOPICAL,0.03%,PROTOPIC,1
OINTMENT;TOPICAL,0.03%,TACROLIMUS,1
OINTMENT;TOPICAL,0.05%,CORDRAN,1
OINTMENT;TOPICAL,0.05%,DESOWEN,1
OINTMENT;TOPICAL,0.05%,EMBELINE,1
OINTMENT;TOPICAL,0.05%,PSORCON,1
OINTMENT;TOPICAL,0.05%,"PSORCON E",1
OINTMENT;TOPICAL,0.05%,TEMOVATE,1
OINTMENT;TOPICAL,0.05%,TOPICORT,1
OINTMENT;TOPICAL,0.05%,"TRIAMCINOLONE ACETONIDE IN ABSORBASE",1
OINTMENT;TOPICAL,0.05%,ULTRAVATE,1
OINTMENT;TOPICAL,"0.05% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",ACLOVATE,1
OINTMENT;TOPICAL,"0.05% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",LIDEX,1
OINTMENT;TOPICAL,0.064%;0.005%,TACLONEX,1
OINTMENT;TOPICAL,0.1%,ARISTOCORT,1
OINTMENT;TOPICAL,0.1%,CYCLOCORT,1
OINTMENT;TOPICAL,0.1%,DERMATOP,1
OINTMENT;TOPICAL,0.1%,ELOCON,1
OINTMENT;TOPICAL,0.1%,HALOG,1
OINTMENT;TOPICAL,0.1%,"HYDROCORTISONE BUTYRATE",1
OINTMENT;TOPICAL,0.1%,KENALOG,1
OINTMENT;TOPICAL,0.1%,LOCOID,1
OINTMENT;TOPICAL,0.1%,PREDNICARBATE,1
OINTMENT;TOPICAL,0.1%,PROTOPIC,1
OINTMENT;TOPICAL,0.1%,TACROLIMUS,1
OINTMENT;TOPICAL,0.2%,FURACIN,1
OINTMENT;TOPICAL,0.2%,WESTCORT,1
OINTMENT;TOPICAL,0.25%,"MEDROL ACETATE",1
OINTMENT;TOPICAL,0.25%;81.35%;15%,VUSION,1
OINTMENT;TOPICAL,0.5%,"ARISTOCORT A",1
OINTMENT;TOPICAL,0.5%,MAGNACORT,1
OINTMENT;TOPICAL,"0.5% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",ARISTOCORT,1
OINTMENT;TOPICAL,"0.5% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**","ARISTOCORT A",1
OINTMENT;TOPICAL,"0.5%;EQ 3.5MG BASE/GM",NEO-CORTEF,1
OINTMENT;TOPICAL,1%,ALTABAX,1
OINTMENT;TOPICAL,1%,"CORTEF ACETATE",1
OINTMENT;TOPICAL,1%,CORTRIL,1
OINTMENT;TOPICAL,1%,"HYDROCORTISONE IN ABSORBASE",1
OINTMENT;TOPICAL,1%,"MEDROL ACETATE",1
OINTMENT;TOPICAL,"1%;EQ 3.5MG BASE/GM",NEO-CORTEF,1
OINTMENT;TOPICAL,"100,000 UNITS/GM;0.1%","MYCO-TRIACET II",1
OINTMENT;TOPICAL,"100,000 UNITS/GM;0.1%",MYKACET,1
OINTMENT;TOPICAL,"100,000 UNITS/GM;0.1%","MYTREX F",1
OINTMENT;TOPICAL,"100,000 UNITS/GM;0.1% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",MYCOLOG-II,1
OINTMENT;TOPICAL,"10MG/GM;666 UNITS/GM;1 UNITS/GM",ELASE-CHLOROMYCETIN,1
OINTMENT;TOPICAL,15%,VEREGEN,1
OINTMENT;TOPICAL,2.5%,CORTRIL,1
OINTMENT;TOPICAL,"2.5% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**","CORTEF ACETATE",1
OINTMENT;TOPICAL,"2.5%;EQ 3.5MG BASE/GM",NEO-CORTEF,1
OINTMENT;TOPICAL,2%,AKNE-MYCIN,1
OINTMENT;TOPICAL,2%,BACTROBAN,1
OINTMENT;TOPICAL,2%,CENTANY,1
OINTMENT;TOPICAL,3MCG/GM,VECTICAL,1
OINTMENT;TOPICAL,"400 UNITS/GM;1%;EQ 3.5MG BASE/GM;5,000 UNITS/GM",CORTISPORIN,1
OINTMENT;TOPICAL,5%,XYLOCAINE,1
OINTMENT;TOPICAL,5%,ZOVIRAX,1
OINTMENT;TOPICAL,"82,000 UNITS/GM **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",TRAVASE,1
OINTMENT;TOPICAL,"EQ 0.05% BASE",ALPHATREX,1
OINTMENT;TOPICAL,"EQ 0.05% BASE",DIPROSONE,1
OINTMENT;TOPICAL,"EQ 0.1% BASE",BETA-VAL,1
OINTMENT;TOPICAL,"EQ 0.1% BASE",BETATREX,1
OINTMENT;TOPICAL,"EQ 0.1% BASE",VALISONE,1
OINTMENT;TRANSDERMAL,2%,NITROGLYCERIN,1
OINTMENT;VAGINAL,6.5%,TIOCONAZOLE,1
OINTMENT;VAGINAL,6.5%,VAGISTAT-1,1
PASTE;DENTAL,0.1%,"KENALOG IN ORABASE",1
PASTE;DENTAL,0.1%,ORALONE,1
PASTE;DENTAL,0.24%;0.3%,"COLGATE TOTAL",1
PASTE;DENTAL,1.2%,"EXTRA-STRENGTH AIM",1
PASTE;DENTAL,5%,APHTHASOL,1
PASTE;TOPICAL,0.5%,"ORABASE HCA",1
PASTE;TOPICAL,50%;50%,"SKIN EXPOSURE REDUCTION PASTE AGAINST CHEMICAL WARFARE AGENTS",1
PASTILLE;ORAL,"200,000 UNITS",MYCOSTATIN,1
"PATCH;IONTOPHORESIS, TOPICAL",1.05MG/PATCH;100MG/PATCH,"LIDOSITE TOPICAL SYSTEM KIT",1
PATCH;TOPICAL,1.3%,FLECTOR,1
PATCH;TOPICAL,2MG,AMLEXANOX,1
PATCH;TOPICAL,3%;10%,SALONPAS,1
PATCH;TOPICAL,46.1MG/PATCH,DENTIPATCH,1
PATCH;TOPICAL,5%,LIDODERM,1
PATCH;TOPICAL,70MG;70MG,SYNERA,1
PATCH;TOPICAL,8%,QUTENZA,1
PELLET;IMPLANTATION,75MG,TESTOPEL,1
"POWDER, EXTENDED RELEASE;DENTAL","EQ 1MG BASE",ARESTIN,1
"POWDER, FOR INJECTION SOLUTION, LYOPHILIZED POWDER",50MG,KEYTRUDA,1
"POWDER, METERED;INHALATION",0.08MG/INH,"PULMICORT FLEXHALER",1
"POWDER, METERED;INHALATION",0.16MG/INH,PULMICORT,1
"POWDER, METERED;INHALATION",0.16MG/INH,"PULMICORT FLEXHALER",1
"POWDER, METERED;INHALATION",0.32MG/INH,PULMICORT,1
"POWDER, METERED;INHALATION",0.4MG/INH,"TUDORZA PRESSAIR",1
"POWDER, METERED;INHALATION","EQ 0.090MG BASE/INH","PROAIR RESPICLICK",1
"POWDER; INHALATION",0.012MG/INH,FORADIL,1
"POWDER; INHALATION",10MG,ARIDOL,1
"POWDER; INHALATION",20MG,ARIDOL,1
"POWDER; INHALATION",40MG,ARIDOL,1
"POWDER; IV (INFUSION)",5MG/ML,LUMIZYME,1
"POWDER;FOR RX COMPOUNDING","100,000,000 UNITS/BOT",POLY-RX,1
"POWDER;FOR RX COMPOUNDING",100%,HYDRO-RX,1
"POWDER;FOR RX COMPOUNDING",100%,HYDROCORTISONE,1
"POWDER;FOR RX COMPOUNDING",100%,"HYDROCORTISONE ACETATE",1
"POWDER;FOR RX COMPOUNDING",100%,NEO-RX,1
"POWDER;FOR RX COMPOUNDING",100GM/BOT,"METHADONE HYDROCHLORIDE",1
"POWDER;FOR RX COMPOUNDING","5,000,000 UNITS/BOT",BACI-RX,1
"POWDER;FOR RX COMPOUNDING","5,000,000 UNITS/BOT",BACITRACIN,1
"POWDER;FOR RX COMPOUNDING","500,000 UNITS/BOT",ZIBA-RX,1
"POWDER;FOR RX COMPOUNDING",500GM/BOT,"METHADONE HYDROCHLORIDE",1
"POWDER;FOR RX COMPOUNDING",50GM/BOT,"METHADONE HYDROCHLORIDE",1
POWDER;INHALATION,0.0085MG/INH,"FORADIL CERTIHALER",1
POWDER;INHALATION,0.012MG/INH,FORADIL,1
POWDER;INHALATION,0.044MG/INH,FLOVENT,1
POWDER;INHALATION,0.05MG/INH,"FLOVENT DISKUS 50",1
POWDER;INHALATION,0.088MG/INH,FLOVENT,1
POWDER;INHALATION,0.11MG/INH,"ASMANEX TWISTHALER",1
POWDER;INHALATION,0.1MG/INH,"ARNUITY ELLIPTA",1
POWDER;INHALATION,0.1MG/INH,"FLOVENT DISKUS 100",1
POWDER;INHALATION,"0.1MG/INH;EQ 0.025MG BASE/INH","BREO ELLIPTA",1
POWDER;INHALATION,"0.1MG/INH;EQ 0.05MG BASE/INH","ADVAIR DISKUS 100/50",1
POWDER;INHALATION,0.22MG/INH,"ASMANEX TWISTHALER",1
POWDER;INHALATION,0.22MG/INH,FLOVENT,1
POWDER;INHALATION,0.25MG/INH,"FLOVENT DISKUS 250",1
POWDER;INHALATION,"0.25MG/INH;EQ 0.05MG BASE/INH","ADVAIR DISKUS 250/50",1
POWDER;INHALATION,0.2MG/INH,"ARNUITY ELLIPTA",1
POWDER;INHALATION,"0.2MG/INH;EQ 0.025MG BASE/INH","BREO ELLIPTA",1
POWDER;INHALATION,"0.5MG/INH;EQ 0.05MG BASE/INH","ADVAIR DISKUS 500/50",1
POWDER;INHALATION,10%,NORISODRINE,1
POWDER;INHALATION,10MG,ADASUVE,1
POWDER;INHALATION,"12 UNITS/INH",AFREZZA,1
POWDER;INHALATION,15.6MCG/INH,SEEBRI,1
POWDER;INHALATION,15.6MCG/INH;27.5MCG/INH,UTIBRON,1
POWDER;INHALATION,1MG/INH,EXUBERA,1
POWDER;INHALATION,22MG,"ONZETRA XSAIL",1
POWDER;INHALATION,25%,NORISODRINE,1
POWDER;INHALATION,28MG,"TOBI PODHALER",1
POWDER;INHALATION,3MG/INH,EXUBERA,1
POWDER;INHALATION,"4 UNITS/INH",AFREZZA,1
POWDER;INHALATION,5MG,RELENZA,1
POWDER;INHALATION,"8 UNITS/INH",AFREZZA,1
POWDER;INHALATION,"EQ 0.018MG BASE/INH",SPIRIVA,1
POWDER;INHALATION,"EQ 0.05MG BASE/INH",SEREVENT,1
POWDER;INHALATION,"EQ 0.0625MG BASE/INH;EQ 0.025MG BASE/INH","ANORO ELLIPTA",1
POWDER;INHALATION,"EQ 11MG BASE","ONZETRA XSAIL",1
POWDER;INHALATION,"EQ 62.5MCG BASE/INH","INCRUSE ELLIPTA",1
POWDER;INHALATION,"EQ 75MCG BASE","ARCAPTA NEOHALER",1
POWDER;INHALATION,"N/A,5MG,10MG,20MG,40MG","ARIDOL KIT",1
POWDER;INTRAMUSCULAR,"EQ 20MG BASE/VIAL","SIGNIFOR LAR",1
POWDER;INTRAMUSCULAR,"EQ 40MG BASE/VIAL","SIGNIFOR LAR",1
POWDER;INTRAMUSCULAR,"EQ 500MG BASE/VIAL;500MG/VIAL",PRIMAXIN,1
POWDER;INTRAMUSCULAR,"EQ 60MG BASE/VIAL","SIGNIFOR LAR",1
POWDER;INTRAMUSCULAR,"EQ 750MG BASE/VIAL;750MG/VIAL",PRIMAXIN,1
"POWDER;INTRAMUSCULAR, INTRAVENOUS","EQ 1MG BASE/VIAL",GLUCAGON,1
POWDER;INTRAPLEURAL,5GM/BOT,TALC,1
POWDER;INTRAVENOUS,100MG/VIAL,TEMODAR,1
POWDER;INTRAVENOUS,2.1-5.5mCi/ML,NETSPOT,1
POWDER;INTRAVENOUS,30MG/VIAL,KYPROLIS,1
POWDER;INTRAVENOUS,500MG/VIAL,CUBICIN,1
POWDER;INTRAVENOUS,500MG/VIAL,"CUBICIN RF",1
POWDER;INTRAVENOUS,50MG/VIAL,DECITABINE,1
POWDER;INTRAVENOUS,60MG/VIAL,KYPROLIS,1
POWDER;INTRAVENOUS,"EQ 115MG BASE/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",EMEND,1
POWDER;INTRAVENOUS,"EQ 150MG BASE/VIAL",EMEND,1
POWDER;INTRAVENOUS,"EQ 150MG BASE/VIAL","FOSAPREPITANT DIMEGLUMINE",1
POWDER;INTRAVENOUS,"EQ 1GM BASE/VIAL","AMPICILLIN SODIUM",1
POWDER;INTRAVENOUS,"EQ 1GM BASE/VIAL","OXACILLIN SODIUM",1
POWDER;INTRAVENOUS,"EQ 250MG BASE/VIAL;250MG/VIAL",PRIMAXIN,1
POWDER;INTRAVENOUS,"EQ 2GM BASE/VIAL","AMPICILLIN SODIUM",1
POWDER;INTRAVENOUS,"EQ 2GM BASE/VIAL","OXACILLIN SODIUM",1
POWDER;INTRAVENOUS,"EQ 500MG BASE/VIAL;500MG/VIAL",PRIMAXIN,1
"POWDER;IV (INFUSION)",100MG/VIAL,TREANDA,1
"POWDER;IV (INFUSION)",10MG/VIAL,ISTODAX,1
"POWDER;IV (INFUSION)",1GM/VIAL,"MEROPENEM AND SODIUM CHLORIDE IN DUPLEX CONTAINER",1
"POWDER;IV (INFUSION)",1MG/VIAL,YONDELIS,1
"POWDER;IV (INFUSION)","200 UNITS/VIAL",ELELYSO,1
"POWDER;IV (INFUSION)","200 UNITS/VIAL",VPRIV,1
"POWDER;IV (INFUSION)",200MG/VIAL,SIVEXTRO,1
"POWDER;IV (INFUSION)",250MG/VIAL,CUBICIN,1
"POWDER;IV (INFUSION)",25MG/VIAL,TREANDA,1
"POWDER;IV (INFUSION)",372MG,CRESEMBA,1
"POWDER;IV (INFUSION)",400MG/VIAL,TEFLARO,1
"POWDER;IV (INFUSION)",500MG/VIAL,BELEODAQ,1
"POWDER;IV (INFUSION)",500MG/VIAL,"MEROPENEM AND SODIUM CHLORIDE IN DUPLEX CONTAINER",1
"POWDER;IV (INFUSION)",50MG/VIAL,KENGREAL,1
"POWDER;IV (INFUSION)",600MG/VIAL,TEFLARO,1
"POWDER;IV (INFUSION)","EQ 0.5GM BASE;2GM/VIAL",AVYCAZ,1
"POWDER;IV (INFUSION)","EQ 100GM BASE","CEFOXITIN IN PLASTIC CONTAINER",1
"POWDER;IV (INFUSION)","EQ 100GM BASE","VANCOMYCIN HYDROCHLORIDE IN PLASTIC CONTAINER",1
"POWDER;IV (INFUSION)","EQ 1GM BASE/VIAL;EQ 0.5GM BASE/VIAL",ZERBAXA,1
"POWDER;IV (INFUSION)","EQ 250MG BASE/VIAL",VIBATIV,1
"POWDER;IV (INFUSION)","EQ 400MG BASE/VIAL",ORBACTIV,1
"POWDER;IV (INFUSION)","EQ 500MG BASE/VIAL",DALVANCE,1
"POWDER;IV (INFUSION)","EQ 50MG BASE/VIAL",EVOMELA,1
"POWDER;IV (INFUSION)","EQ 50MG BASE/VIAL",FUSILEV,1
"POWDER;IV (INFUSION)","EQ 50MG BASE/VIAL","LEVOLEUCOVORIN CALCIUM",1
"POWDER;IV (INFUSION)","EQ 750MG BASE/VIAL",VIBATIV,1
"POWDER;IV (INFUSION), SUBCUTANEOUS",100MG/VIAL,AZACITIDINE,1
POWDER;ORAL,100%,NYSTATIN,1
POWDER;ORAL,100%,"POTASSIUM AMINOSALICYLATE",1
POWDER;ORAL,100%,"SODIUM AMINOSALICYLATE",1
POWDER;ORAL,"100% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",NILSTAT,1
POWDER;ORAL,100MG/PACKET,KUVAN,1
POWDER;ORAL,2.5GM/PACKET,CALCIBIND,1
