TherapeuticClass,Drugname,TotalApprovals,ApprovalYear
AB,ACTOS,1,2009
AB,ACTOS,1,2010
AB,ACTOS,1,2011
AB,ACTOS,1,2012
AB,ACTOS,1,2013
AB,ADAPALENE,1,2012
AB,ADAPALENE,1,2014
AB,ADAPALENE,1,2016
AB,"ADAPALENE AND BENZOYL PEROXIDE",1,2015
AB,"ADDERALL XR 10",1,2001
AB,"ADDERALL XR 10",1,2002
AB,"ADDERALL XR 10",1,2004
AB,"ADDERALL XR 10",1,2005
AB,"ADDERALL XR 10",1,2006
AB,"ADDERALL XR 10",1,2007
AB,"ADDERALL XR 10",1,2008
AB,"ADDERALL XR 10",1,2010
AB,"ADDERALL XR 10",1,2012
AB,"ADDERALL XR 10",1,2013
AB,"ADDERALL XR 10",1,2014
AB,"ADDERALL XR 10",1,2015
AB,"ADDERALL XR 15",1,2001
AB,"ADDERALL XR 15",1,2002
AB,"ADDERALL XR 15",1,2004
AB,"ADDERALL XR 15",1,2005
AB,"ADDERALL XR 15",1,2006
AB,"ADDERALL XR 15",1,2007
AB,"ADDERALL XR 15",1,2008
AB,"ADDERALL XR 15",1,2010
AB,"ADDERALL XR 15",1,2012
AB,"ADDERALL XR 15",1,2013
AB,"ADDERALL XR 15",1,2014
AB,"ADDERALL XR 15",1,2015
AB,"ADDERALL XR 20",1,2001
AB,"ADDERALL XR 20",1,2002
AB,"ADDERALL XR 20",1,2004
AB,"ADDERALL XR 20",1,2005
AB,"ADDERALL XR 20",1,2006
AB,"ADDERALL XR 20",1,2007
AB,"ADDERALL XR 20",1,2008
AB,"ADDERALL XR 20",1,2010
AB,"ADDERALL XR 20",1,2012
AB,"ADDERALL XR 20",1,2013
AB,"ADDERALL XR 20",1,2014
AB,"ADDERALL XR 20",1,2015
AB,"ADDERALL XR 25",1,2001
AB,"ADDERALL XR 25",1,2002
AB,"ADDERALL XR 25",1,2004
AB,"ADDERALL XR 25",1,2005
AB,"ADDERALL XR 25",1,2006
AB,"ADDERALL XR 25",1,2007
AB,"ADDERALL XR 25",1,2008
AB,"ADDERALL XR 25",1,2010
AB,"ADDERALL XR 25",1,2012
AB,"ADDERALL XR 25",1,2013
AB,"ADDERALL XR 25",1,2014
AB,"ADDERALL XR 25",1,2015
AB,"ADDERALL XR 30",1,2001
AB,"ADDERALL XR 30",1,2002
AB,"ADDERALL XR 30",1,2004
AB,"ADDERALL XR 30",1,2005
AB,"ADDERALL XR 30",1,2006
AB,"ADDERALL XR 30",1,2007
AB,"ADDERALL XR 30",1,2008
AB,"ADDERALL XR 30",1,2010
AB,"ADDERALL XR 30",1,2012
AB,"ADDERALL XR 30",1,2013
AB,"ADDERALL XR 30",1,2014
AB,"ADDERALL XR 30",1,2015
AB,"ADDERALL XR 5",1,2001
AB,"ADDERALL XR 5",1,2002
AB,"ADDERALL XR 5",1,2004
AB,"ADDERALL XR 5",1,2005
AB,"ADDERALL XR 5",1,2006
AB,"ADDERALL XR 5",1,2007
AB,"ADDERALL XR 5",1,2008
AB,"ADDERALL XR 5",1,2010
AB,"ADDERALL XR 5",1,2012
AB,"ADDERALL XR 5",1,2013
AB,"ADDERALL XR 5",1,2014
AB,"ADDERALL XR 5",1,2015
AB,"ADEFOVIR DIPIVOXIL",1,2013
AB,AGGRENOX,1,1999
AB,AGGRENOX,1,2000
AB,AGGRENOX,1,2001
AB,AGGRENOX,1,2002
AB,AGGRENOX,1,2004
AB,AGGRENOX,1,2006
AB,AGGRENOX,1,2007
AB,AGGRENOX,1,2009
AB,AGGRENOX,1,2012
AB,AGGRENOX,1,2013
AB,AGGRENOX,1,2014
AB,AGGRENOX,1,2015
AB,AGRYLIN,1,1997
AB,AGRYLIN,1,1998
AB,AGRYLIN,1,1999
AB,AGRYLIN,1,2000
AB,AGRYLIN,1,2002
AB,AGRYLIN,1,2004
AB,AGRYLIN,1,2008
AB,AGRYLIN,1,2009
AB,AGRYLIN,1,2010
AB,AGRYLIN,1,2011
AB,AGRYLIN,1,2013
AB,AGRYLIN,1,2014
AB,AGRYLIN,1,2015
AB,"ALBUTEROL SULFATE",1,1989
AB,"ALBUTEROL SULFATE",1,1990
AB,"ALBUTEROL SULFATE",1,1994
AB,"ALBUTEROL SULFATE",1,1995
AB,"ALBUTEROL SULFATE",1,1997
AB,"ALBUTEROL SULFATE",1,2000
AB,"ALBUTEROL SULFATE",1,2002
AB,"ALBUTEROL SULFATE",1,2007
AB,"ALCLOMETASONE DIPROPIONATE",1,2004
AB,ALDACTAZIDE,1,1978
AB,ALDACTAZIDE,1,1990
AB,ALDACTAZIDE,1,1999
AB,ALDACTAZIDE,1,2002
AB,ALDACTAZIDE,1,2011
AB,ALDACTAZIDE,1,2013
AB,ALDACTAZIDE,1,2014
AB,ALDACTONE,1,1960
AB,ALDACTONE,1,1976
AB,ALDACTONE,1,1981
AB,ALDACTONE,1,1982
AB,ALDACTONE,1,1983
AB,ALDACTONE,1,1984
AB,ALDACTONE,1,1985
AB,ALDACTONE,1,1986
AB,ALDACTONE,1,1987
AB,ALDACTONE,1,1988
AB,ALDACTONE,1,1989
AB,ALDACTONE,1,1990
AB,ALDACTONE,1,1992
AB,ALDACTONE,1,1995
AB,ALDACTONE,1,1996
AB,ALDACTONE,1,1997
AB,ALDACTONE,1,1999
AB,ALDACTONE,1,2002
AB,ALDACTONE,1,2008
AB,ALDACTONE,1,2011
AB,ALDACTONE,1,2012
AB,ALDACTONE,1,2013
AB,ALDACTONE,1,2014
AB,ALDACTONE,1,2015
AB,ALDACTONE,1,2016
AB,ALDARA,1,1997
AB,ALDARA,1,1998
AB,ALDARA,1,2000
AB,ALDARA,1,2001
AB,ALDARA,1,2002
AB,ALDARA,1,2004
AB,ALDARA,1,2005
AB,ALDARA,1,2007
AB,ALDARA,1,2010
AB,ALDARA,1,2014
AB,ALDARA,1,2015
AB,"ALENDRONATE SODIUM",1,2009
AB,"ALENDRONATE SODIUM",1,2010
AB,"ALFUZOSIN HYDROCHLORIDE",1,2016
AB,ALLEGRA,1,2006
AB,ALLEGRA,1,2008
AB,ALLOPURINOL,1,1986
AB,ALLOPURINOL,1,2003
AB,ALLOPURINOL,1,2005
AB,ALLOPURINOL,1,2011
AB,ALLOPURINOL,1,2013
AB,ALLOPURINOL,1,2014
AB,ALLOPURINOL,1,2015
AB,ALLOPURINOL,1,2016
AB,"ALMOTRIPTAN MALATE",1,2016
AB,"ALOSETRON HYDROCHLORIDE",1,2015
AB,ALPRAZOLAM,1,1995
AB,ALPRAZOLAM,1,1996
AB,ALPRAZOLAM,1,2009
AB,ALTACE,1,1991
AB,ALTACE,1,1992
AB,ALTACE,1,1993
AB,ALTACE,1,1994
AB,ALTACE,1,1995
AB,ALTACE,1,1996
AB,ALTACE,1,1997
AB,ALTACE,1,1998
AB,ALTACE,1,2000
AB,ALTACE,1,2001
AB,ALTACE,1,2002
AB,ALTACE,1,2004
AB,ALTACE,1,2009
AB,ALTACE,1,2010
AB,ALTACE,1,2011
AB,ALTACE,1,2012
AB,ALTACE,1,2013
AB,ALTACE,1,2014
AB,ALTACE,1,2015
AB,ALTAVERA,1,2010
AB,"ALYACEN 1/35",1,2012
AB,"ALYACEN 7/7/7",1,2012
AB,"ALYACEN 777",1,2012
AB,AMABELZ,1,2016
AB,"AMANTADINE HYDROCHLORIDE",1,1993
AB,"AMANTADINE HYDROCHLORIDE",1,1994
AB,"AMANTADINE HYDROCHLORIDE",1,1995
AB,"AMANTADINE HYDROCHLORIDE",1,2002
AB,"AMANTADINE HYDROCHLORIDE",1,2008
AB,AMARYL,1,1995
AB,AMARYL,1,1997
AB,AMARYL,1,1998
AB,AMARYL,1,1999
AB,AMARYL,1,2000
AB,AMARYL,1,2001
AB,AMARYL,1,2002
AB,AMARYL,1,2004
AB,AMARYL,1,2005
AB,AMARYL,1,2009
AB,AMARYL,1,2012
AB,AMARYL,1,2013
AB,AMBIEN,1,1992
AB,AMBIEN,1,1995
AB,AMBIEN,1,1996
AB,AMBIEN,1,1999
AB,AMBIEN,1,2001
AB,AMBIEN,1,2002
AB,AMBIEN,1,2007
AB,AMBIEN,1,2008
AB,AMBIEN,1,2010
AB,AMBIEN,1,2013
AB,AMBIEN,1,2014
AB,AMBIEN,1,2016
AB,"AMBIEN CR",1,2005
AB,"AMBIEN CR",1,2007
AB,"AMBIEN CR",1,2010
AB,"AMBIEN CR",1,2013
AB,"AMBIEN CR",1,2014
AB,"AMBIEN CR",1,2016
AB,AMERGE,1,1998
AB,AMERGE,1,2000
AB,AMERGE,1,2001
AB,AMERGE,1,2003
AB,AMERGE,1,2010
AB,AMERGE,1,2012
AB,AMERGE,1,2013
AB,AMICAR,1,1964
AB,AMICAR,1,1977
AB,AMICAR,1,1981
AB,AMICAR,1,1982
AB,AMICAR,1,1983
AB,AMICAR,1,1986
AB,AMICAR,1,1990
AB,AMICAR,1,1992
AB,AMICAR,1,1997
AB,AMICAR,1,1999
AB,AMICAR,1,2000
AB,AMICAR,1,2004
AB,AMICAR,1,2008
AB,"AMILORIDE HYDROCHLORIDE",1,1986
AB,"AMILORIDE HYDROCHLORIDE",1,1987
AB,"AMILORIDE HYDROCHLORIDE",1,1989
AB,"AMILORIDE HYDROCHLORIDE",1,1997
AB,"AMILORIDE HYDROCHLORIDE",1,2001
AB,"AMILORIDE HYDROCHLORIDE",1,2002
AB,"AMILORIDE HYDROCHLORIDE",1,2009
AB,"AMILORIDE HYDROCHLORIDE",1,2015
AB,"AMILORIDE HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE",1,1988
AB,"AMILORIDE HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE",1,1989
AB,"AMILORIDE HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE",1,1992
AB,"AMILORIDE HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE",1,1994
AB,"AMILORIDE HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE",1,1997
AB,"AMILORIDE HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE",1,1999
AB,AMINOCAPROIC,1,2001
AB,AMINOCAPROIC,1,2002
AB,"AMIODARONE HYDROCHLORIDE",1,2003
AB,"AMIODARONE HYDROCHLORIDE",1,2005
AB,"AMIODARONE HYDROCHLORIDE",1,2016
AB,"AMLODIPINE BESYLATE",1,2005
AB,"AMLODIPINE BESYLATE",1,2010
AB,"AMLODIPINE BESYLATE",1,2012
AB,"AMLODIPINE BESYLATE AND ATORVASTATIN CALCIUM",1,2013
AB,"AMLODIPINE BESYLATE AND ATORVASTATIN CALCIUM",1,2014
AB,"AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE",1,2007
AB,"AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE",1,2012
AB,"AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE",1,2013
AB,"AMLODIPINE BESYLATE, VALSARTAN AND HYDROCHLOROTHIAZIDE",1,2012
AB,"AMLODIPINE BESYLATE; BENAZEPRIL HYDROCHLORIDE",1,2010
AB,"AMLODIPINE BESYLATE; BENAZEPRIL HYDROCHLORIDE",1,2011
AB,"AMMONIUM LACTATE",1,2003
AB,AMNESTEEM,1,2002
AB,AMNESTEEM,1,2007
AB,AMNESTEEM,1,2010
AB,AMOXICILLIN,1,1976
AB,AMOXICILLIN,1,1978
AB,AMOXICILLIN,1,1982
AB,AMOXICILLIN,1,1989
AB,AMOXICILLIN,1,2012
AB,AMOXICILLIN,1,2013
AB,"AMOXICILLIN AND CLAVULANATE POTASSIUM",1,2008
AB,"AMOXICILLIN AND CLAVULANATE POTASSIUM",1,2013
AB,"AMOXICILLIN AND CLAVULANATE POTASSIUM",1,2016
AB,"AMOXICILLIN PEDIATRIC",1,1982
AB,"AMOXICILLIN PEDIATRIC",1,1993
AB,"AMOXICILLIN PEDIATRIC",1,1994
AB,"AMOXICILLIN PEDIATRIC",1,1995
AB,"AMOXICILLIN PEDIATRIC",1,1996
AB,"AMOXICILLIN PEDIATRIC",1,1997
AB,"AMOXICILLIN PEDIATRIC",1,1999
AB,"AMOXICILLIN PEDIATRIC",1,2000
AB,"AMOXICILLIN PEDIATRIC",1,2001
AB,"AMOXICILLIN PEDIATRIC",1,2002
AB,AMOXIL,1,1980
AB,AMOXIL,1,1985
AB,AMOXIL,1,1988
AB,AMOXIL,1,1991
AB,AMOXIL,1,1992
AB,AMOXIL,1,1994
AB,AMOXIL,1,1996
AB,AMOXIL,1,1997
AB,"AMPICILLIN TRIHYDRATE",1,1995
AB,"AMPICILLIN TRIHYDRATE",1,1996
AB,AMRIX,1,2007
AB,AMRIX,1,2008
AB,AMRIX,1,2013
AB,AMRIX,1,2016
AB,ANAFRANIL,1,1989
AB,ANAFRANIL,1,1991
AB,ANAFRANIL,1,1994
AB,ANAFRANIL,1,1995
AB,ANAFRANIL,1,1997
AB,ANAFRANIL,1,1998
AB,ANAFRANIL,1,1999
AB,ANAFRANIL,1,2000
AB,ANAFRANIL,1,2001
AB,ANAFRANIL,1,2002
AB,ANAFRANIL,1,2004
AB,ANAFRANIL,1,2005
AB,ANAFRANIL,1,2007
AB,ANAFRANIL,1,2012
AB,ANAFRANIL,1,2014
AB,"ANAGRELIDE HYDROCHLORIDE",1,2006
AB,ANAPROX,1,1980
AB,ANAPROX,1,1981
AB,ANAPROX,1,1982
AB,ANAPROX,1,1983
AB,ANAPROX,1,1985
AB,ANAPROX,1,1986
AB,ANAPROX,1,1987
AB,ANAPROX,1,1990
AB,ANAPROX,1,1992
AB,ANAPROX,1,1993
AB,ANAPROX,1,1994
AB,ANAPROX,1,1995
AB,ANAPROX,1,2000
AB,ANAPROX,1,2001
AB,ANAPROX,1,2002
AB,ANAPROX,1,2003
AB,ANAPROX,1,2004
AB,ANAPROX,1,2006
AB,ANAPROX,1,2007
AB,ANAPROX,1,2008
AB,ANAPROX,1,2013
AB,ANAPROX,1,2016
AB,"ANAPROX DS",1,1980
AB,"ANAPROX DS",1,1981
AB,"ANAPROX DS",1,1982
AB,"ANAPROX DS",1,1983
AB,"ANAPROX DS",1,1985
AB,"ANAPROX DS",1,1986
AB,"ANAPROX DS",1,1987
AB,"ANAPROX DS",1,1990
AB,"ANAPROX DS",1,1992
AB,"ANAPROX DS",1,1993
AB,"ANAPROX DS",1,1994
AB,"ANAPROX DS",1,1995
AB,"ANAPROX DS",1,2000
AB,"ANAPROX DS",1,2001
AB,"ANAPROX DS",1,2002
AB,"ANAPROX DS",1,2003
AB,"ANAPROX DS",1,2004
AB,"ANAPROX DS",1,2006
AB,"ANAPROX DS",1,2007
AB,"ANAPROX DS",1,2008
AB,"ANAPROX DS",1,2013
AB,"ANAPROX DS",1,2016
AB,ANASTROZOLE,1,2011
AB,ANASTROZOLE,1,2012
AB,ANCOBON,1,1971
AB,ANCOBON,1,1977
AB,ANCOBON,1,1978
AB,ANCOBON,1,1979
AB,ANCOBON,1,1981
AB,ANCOBON,1,1982
AB,ANCOBON,1,1983
AB,ANCOBON,1,1984
AB,ANCOBON,1,1987
AB,ANCOBON,1,1997
AB,ANCOBON,1,1999
AB,ANCOBON,1,2000
AB,ANCOBON,1,2003
AB,ANCOBON,1,2006
AB,ANCOBON,1,2009
AB,ANCOBON,1,2014
AB,ANCOBON,1,2016
AB,ANDROGEL,1,2000
AB,ANDROGEL,1,2001
AB,ANDROGEL,1,2002
AB,ANDROGEL,1,2003
AB,ANDROGEL,1,2004
AB,ANDROGEL,1,2005
AB,ANDROGEL,1,2007
AB,ANDROGEL,1,2009
AB,ANTABUSE,1,1990
AB,ANTABUSE,1,2002
AB,"ANTARA (MICRONIZED)",1,2004
AB,"ANTARA (MICRONIZED)",1,2005
AB,"ANTARA (MICRONIZED)",1,2008
AB,"ANTARA (MICRONIZED)",1,2012
AB,"ANTARA (MICRONIZED)",1,2013
AB,"ANTARA (MICRONIZED)",1,2014
AB,"ANTARA (MICRONIZED)",1,2015
AB,APREPITANT,1,2012
AB,ARANELLE,1,2004
AB,ARAVA,1,1998
AB,ARAVA,1,1999
AB,ARAVA,1,2000
AB,ARAVA,1,2003
AB,ARAVA,1,2004
AB,ARAVA,1,2005
AB,ARAVA,1,2007
AB,ARAVA,1,2009
AB,ARAVA,1,2010
AB,ARAVA,1,2011
AB,ARAVA,1,2012
AB,ARAVA,1,2014
AB,ARAVA,1,2015
AB,ARICEPT,1,1996
AB,ARICEPT,1,1998
AB,ARICEPT,1,1999
AB,ARICEPT,1,2000
AB,ARICEPT,1,2001
AB,ARICEPT,1,2002
AB,ARICEPT,1,2004
AB,ARICEPT,1,2006
AB,ARICEPT,1,2016
AB,"ARICEPT ODT",1,2004
AB,"ARICEPT ODT",1,2006
AB,"ARICEPT ODT",1,2010
AB,"ARICEPT ODT",1,2012
AB,"ARICEPT ODT",1,2013
AB,"ARICEPT ODT",1,2015
AB,ARIMIDEX,1,1995
AB,ARIMIDEX,1,1996
AB,ARIMIDEX,1,1997
AB,ARIMIDEX,1,1998
AB,ARIMIDEX,1,2000
AB,ARIMIDEX,1,2001
AB,ARIMIDEX,1,2002
AB,ARIMIDEX,1,2004
AB,ARIMIDEX,1,2005
AB,ARIMIDEX,1,2008
AB,ARIMIDEX,1,2009
AB,ARIMIDEX,1,2011
AB,ARIMIDEX,1,2013
AB,ARIMIDEX,1,2014
AB,ARMODAFINIL,1,2012
AB,AROMASIN,1,1999
AB,AROMASIN,1,2001
AB,AROMASIN,1,2003
AB,AROMASIN,1,2004
AB,AROMASIN,1,2005
AB,AROMASIN,1,2008
AB,AROMASIN,1,2011
AB,AROMASIN,1,2013
AB,AROMASIN,1,2014
AB,AROMASIN,1,2016
AB,ARTHROTEC,1,1997
AB,ARTHROTEC,1,1998
AB,ARTHROTEC,1,1999
AB,ARTHROTEC,1,2000
AB,ARTHROTEC,1,2002
AB,ARTHROTEC,1,2005
AB,ARTHROTEC,1,2006
AB,ARTHROTEC,1,2007
AB,ARTHROTEC,1,2009
AB,ARTHROTEC,1,2010
AB,ARTHROTEC,1,2013
AB,ARTHROTEC,1,2014
AB,ARTHROTEC,1,2015
AB,ARTHROTEC,1,2016
AB,ASHLYNA,1,2015
AB,"ASPIRIN AND DIPYRIDAMOLE",1,2009
AB,ASTELIN,1,1996
AB,ASTELIN,1,1997
AB,ASTELIN,1,1999
AB,ASTELIN,1,2000
AB,ASTELIN,1,2001
AB,ASTELIN,1,2006
AB,ASTELIN,1,2007
AB,ASTELIN,1,2012
AB,ASTELIN,1,2014
AB,ASTEPRO,1,2008
AB,ASTEPRO,1,2009
AB,ASTEPRO,1,2011
AB,ASTEPRO,1,2013
AB,ASTEPRO,1,2014
AB,ASTEPRO,1,2015
AB,ATACAND,1,1998
AB,ATACAND,1,1999
AB,ATACAND,1,2000
AB,ATACAND,1,2001
AB,ATACAND,1,2002
AB,ATACAND,1,2003
AB,ATACAND,1,2004
AB,ATACAND,1,2005
AB,ATACAND,1,2006
AB,ATACAND,1,2009
AB,ATACAND,1,2011
AB,ATACAND,1,2012
AB,ATACAND,1,2013
AB,ATACAND,1,2015
AB,ATACAND,1,2016
AB,"ATACAND HCT",1,2000
AB,"ATACAND HCT",1,2001
AB,"ATACAND HCT",1,2002
AB,"ATACAND HCT",1,2004
AB,"ATACAND HCT",1,2006
AB,"ATACAND HCT",1,2008
AB,"ATACAND HCT",1,2011
AB,"ATACAND HCT",1,2012
AB,"ATACAND HCT",1,2013
AB,"ATACAND HCT",1,2015
AB,"ATACAND HCT",1,2016
AB,"ATAZANAVIR SULFATE",1,2014
AB,ATELVIA,1,2010
AB,ATELVIA,1,2011
AB,ATELVIA,1,2012
AB,ATELVIA,1,2013
AB,ATELVIA,1,2015
AB,ATENOLOL,1,2003
AB,ATENOLOL,1,2005
AB,ATIVAN,1,1977
AB,ATIVAN,1,1978
AB,ATIVAN,1,1979
AB,ATIVAN,1,1980
AB,ATIVAN,1,1982
AB,ATIVAN,1,1983
AB,ATIVAN,1,1984
AB,ATIVAN,1,1985
AB,ATIVAN,1,1986
AB,ATIVAN,1,1987
AB,ATIVAN,1,1988
AB,ATIVAN,1,2007
AB,ATIVAN,1,2016
AB,"ATORVASTATIN CALCIUM",1,2011
AB,"ATORVASTATIN CALCIUM",1,2013
AB,"ATORVASTATIN CALCIUM",1,2016
AB,ATOVAQUONE,1,2014
AB,"ATOVAQUONE AND PROGUANIL HYDROCHLORIDE",1,2011
AB,"ATOVAQUONE AND PROGUANIL HYDROCHLORIDE",1,2014
AB,ATRALIN,1,2007
AB,ATRALIN,1,2014
AB,ATRALIN,1,2015
AB,ATROVENT,1,2007
AB,ATROVENT,1,2008
AB,ATROVENT,1,2015
AB,"AUGMENTIN '125'",1,1984
AB,"AUGMENTIN '125'",1,1991
AB,"AUGMENTIN '125'",1,1992
AB,"AUGMENTIN '125'",1,1994
AB,"AUGMENTIN '125'",1,1996
AB,"AUGMENTIN '125'",1,1997
AB,"AUGMENTIN '125'",1,1998
AB,"AUGMENTIN '125'",1,1999
AB,"AUGMENTIN '125'",1,2001
AB,"AUGMENTIN '125'",1,2002
AB,"AUGMENTIN '125'",1,2003
AB,"AUGMENTIN '125'",1,2004
AB,"AUGMENTIN '125'",1,2008
AB,"AUGMENTIN '125'",1,2011
AB,"AUGMENTIN '125'",1,2013
AB,"AUGMENTIN '125'",1,2014
AB,"AUGMENTIN '200'",1,2000
AB,"AUGMENTIN '200'",1,2014
AB,"AUGMENTIN '200'",1,2015
AB,"AUGMENTIN '250'",1,1985
AB,"AUGMENTIN '250'",1,1986
AB,"AUGMENTIN '250'",1,1987
AB,"AUGMENTIN '250'",1,1988
AB,"AUGMENTIN '250'",1,1989
AB,"AUGMENTIN '250'",1,1990
AB,"AUGMENTIN '250'",1,2005
AB,"AUGMENTIN '400'",1,2000
AB,"AUGMENTIN '400'",1,2014
AB,"AUGMENTIN '400'",1,2015
AB,"AUGMENTIN '500'",1,1984
AB,"AUGMENTIN '500'",1,1985
AB,"AUGMENTIN '500'",1,1986
AB,"AUGMENTIN '500'",1,1987
AB,"AUGMENTIN '500'",1,1988
AB,"AUGMENTIN '500'",1,1989
AB,"AUGMENTIN '500'",1,1990
AB,"AUGMENTIN '500'",1,1991
AB,"AUGMENTIN '500'",1,1992
AB,"AUGMENTIN '500'",1,1994
AB,"AUGMENTIN '500'",1,1996
AB,"AUGMENTIN '500'",1,1997
AB,"AUGMENTIN '500'",1,1998
AB,"AUGMENTIN '500'",1,1999
AB,"AUGMENTIN '500'",1,2001
AB,"AUGMENTIN '500'",1,2002
AB,"AUGMENTIN '500'",1,2003
AB,"AUGMENTIN '500'",1,2004
AB,"AUGMENTIN '500'",1,2005
AB,"AUGMENTIN '500'",1,2008
AB,"AUGMENTIN '500'",1,2011
AB,"AUGMENTIN '500'",1,2013
AB,"AUGMENTIN '500'",1,2014
AB,"AUGMENTIN '875'",1,1996
AB,"AUGMENTIN '875'",1,1997
AB,"AUGMENTIN '875'",1,1998
AB,"AUGMENTIN '875'",1,1999
AB,"AUGMENTIN '875'",1,2001
AB,"AUGMENTIN '875'",1,2002
AB,"AUGMENTIN '875'",1,2003
AB,"AUGMENTIN '875'",1,2004
AB,"AUGMENTIN '875'",1,2005
AB,"AUGMENTIN '875'",1,2008
AB,"AUGMENTIN '875'",1,2011
AB,"AUGMENTIN '875'",1,2013
AB,"AUGMENTIN '875'",1,2014
AB,"AUGMENTIN ES-600",1,2001
AB,"AUGMENTIN ES-600",1,2002
AB,"AUGMENTIN ES-600",1,2003
AB,"AUGMENTIN ES-600",1,2004
AB,"AUGMENTIN ES-600",1,2008
AB,"AUGMENTIN ES-600",1,2009
AB,"AUGMENTIN ES-600",1,2011
AB,"AUGMENTIN ES-600",1,2014
AB,"AUGMENTIN ES-600",1,2015
AB,"AUGMENTIN XR",1,2002
AB,"AUGMENTIN XR",1,2003
AB,"AUGMENTIN XR",1,2004
AB,"AUGMENTIN XR",1,2005
AB,"AUGMENTIN XR",1,2008
AB,"AUGMENTIN XR",1,2010
AB,"AUGMENTIN XR",1,2011
AB,"AUGMENTIN XR",1,2013
AB,"AUGMENTIN XR",1,2014
AB,AVALIDE,1,1997
AB,AVALIDE,1,1998
AB,AVALIDE,1,1999
AB,AVALIDE,1,2000
AB,AVALIDE,1,2001
AB,AVALIDE,1,2003
AB,AVALIDE,1,2004
AB,AVALIDE,1,2005
AB,AVALIDE,1,2006
AB,AVALIDE,1,2007
AB,AVALIDE,1,2010
AB,AVALIDE,1,2011
AB,AVALIDE,1,2012
AB,AVALIDE,1,2014
AB,AVALIDE,1,2016
AB,AVANDIA,1,1999
AB,AVANDIA,1,2000
AB,AVANDIA,1,2001
AB,AVANDIA,1,2002
AB,AVANDIA,1,2003
AB,AVANDIA,1,2004
AB,AVANDIA,1,2005
AB,AVANDIA,1,2006
AB,AVANDIA,1,2007
AB,AVANDIA,1,2008
AB,AVANDIA,1,2011
AB,AVANDIA,1,2012
AB,AVANDIA,1,2013
AB,AVANDIA,1,2014
AB,AVANDIA,1,2015
AB,AVANDIA,1,2016
AB,AVAPRO,1,1997
AB,AVAPRO,1,1998
AB,AVAPRO,1,1999
AB,AVAPRO,1,2000
AB,AVAPRO,1,2001
AB,AVAPRO,1,2002
AB,AVAPRO,1,2003
AB,AVAPRO,1,2004
AB,AVAPRO,1,2005
AB,AVAPRO,1,2006
AB,AVAPRO,1,2011
AB,AVAPRO,1,2012
AB,AVAPRO,1,2013
AB,AVAPRO,1,2014
AB,AVAPRO,1,2015
AB,AVAPRO,1,2016
AB,AVELOX,1,1999
AB,AVELOX,1,2000
AB,AVELOX,1,2001
AB,AVELOX,1,2002
AB,AVELOX,1,2003
AB,AVELOX,1,2004
AB,AVELOX,1,2005
AB,AVELOX,1,2007
AB,AVELOX,1,2008
AB,AVELOX,1,2009
AB,AVELOX,1,2010
AB,AVELOX,1,2011
AB,AVELOX,1,2012
AB,AVELOX,1,2013
AB,AVELOX,1,2014
AB,AVELOX,1,2015
AB,AVELOX,1,2016
AB,AVITA,1,1997
AB,AVITA,1,1999
AB,AVITA,1,2000
AB,AVITA,1,2001
AB,AVITA,1,2002
AB,AVODART,1,2001
AB,AVODART,1,2002
AB,AVODART,1,2004
AB,AVODART,1,2005
AB,AVODART,1,2008
AB,AVODART,1,2010
AB,AVODART,1,2011
AB,AVODART,1,2012
AB,AVODART,1,2013
AB,AXERT,1,2001
AB,AXERT,1,2004
AB,AXERT,1,2009
AB,AXERT,1,2014
AB,AYGESTIN,1,1982
AB,AYGESTIN,1,1983
AB,AYGESTIN,1,1986
AB,AYGESTIN,1,1987
AB,AYGESTIN,1,1988
AB,AYGESTIN,1,1990
AB,AYGESTIN,1,1991
AB,AYGESTIN,1,1997
AB,AYGESTIN,1,2000
AB,AYGESTIN,1,2002
AB,AYGESTIN,1,2007
AB,AYUNA,1,2016
AB,AZASAN,1,1999
AB,AZASAN,1,2000
AB,AZASAN,1,2001
AB,AZASAN,1,2002
AB,AZASAN,1,2003
AB,AZATHIOPRINE,1,1996
AB,AZATHIOPRINE,1,2001
AB,AZATHIOPRINE,1,2002
AB,AZATHIOPRINE,1,2007
AB,"AZELASTINE HYDROCHLORIDE",1,2009
AB,"AZELASTINE HYDROCHLORIDE",1,2015
AB,AZILECT,1,2006
AB,AZILECT,1,2009
AB,AZILECT,1,2014
AB,AZILECT,1,2015
AB,AZITHROMYCIN,1,2006
AB,AZULFIDINE,1,1950
AB,AZULFIDINE,1,1981
AB,AZULFIDINE,1,1982
AB,AZULFIDINE,1,1983
AB,AZULFIDINE,1,1984
AB,AZULFIDINE,1,1985
AB,AZULFIDINE,1,1990
AB,AZULFIDINE,1,1991
AB,AZULFIDINE,1,1992
AB,AZULFIDINE,1,1993
AB,AZULFIDINE,1,1994
AB,AZULFIDINE,1,1995
